cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,72.0,9.0,8.0,5.5,8.18,0.97939,0.00012,88.69
6.0,124.0,72.0,9.0,8.0,6.0,6.18,0.98174,0.00013,88.85
6.5,124.0,72.0,9.0,8.0,6.5,4.18,0.98379,0.00012,89.01
7.0,124.0,72.0,9.0,8.0,7.0,2.18,0.98518,0.00012,89.13
7.5,124.0,72.0,9.0,8.0,7.5,0.18,0.98615,0.00014,89.24
8.0,127.63833751458316,72.0,9.0,8.0,8.0,0.0,0.98784,0.00014,89.38
8.5,131.63833751458316,72.0,9.0,8.0,8.5,0.0,0.98942,0.00012,89.5
9.0,135.63833751458316,72.0,9.0,8.0,9.0,0.0,0.99082,0.00014,89.62
9.5,139.63833751458316,72.0,9.0,8.0,9.5,0.0,0.99174,0.00012,89.73
10.0,143.63833751458316,72.0,9.0,8.0,10.0,0.0,0.99258,0.00013,89.84
10.5,147.63833751458316,72.0,9.0,8.0,10.5,0.0,0.99301,0.00013,89.92
11.0,151.63833751458316,72.0,9.0,8.0,11.0,0.0,0.99369,0.00012,90.01
11.5,155.63833751458316,72.0,9.0,8.0,11.5,0.0,0.99368,0.0001,90.1
12.0,159.63833751458316,72.0,9.0,8.0,12.0,0.0,0.99395,0.00012,90.18
12.5,163.63833751458316,72.0,9.0,8.0,12.5,0.0,0.99403,0.00013,90.24
13.0,167.63833751458316,72.0,9.0,8.0,13.0,0.0,0.99369,0.00012,90.32
13.5,171.63833751458316,72.0,9.0,8.0,13.5,0.0,0.99315,0.00013,90.38
14.0,175.63833751458316,72.0,9.0,8.0,14.0,0.0,0.99288,0.00014,90.43
14.5,179.63833751458316,72.0,9.0,8.0,14.5,0.0,0.99235,0.00013,90.49
15.0,183.6383375145832,72.0,9.0,8.0,15.0,0.0,0.99172,0.00012,90.55
15.5,187.6383375145832,72.0,9.0,8.0,15.5,0.0,0.99114,0.00012,90.59
16.0,191.6383375145832,72.0,9.0,8.0,16.0,0.0,0.99016,0.00012,90.63
16.5,195.6383375145832,72.0,9.0,8.0,16.5,0.0,0.98917,0.00012,90.67
17.0,199.63833751458316,72.0,9.0,8.0,17.0,0.0,0.9882,0.00013,90.71
