,61.7,64,66,68,70,72,74,76,78,80,82,84,86
5.5,0.94898,0.95746,0.96407,0.96966,0.97477,0.97939,0.98319,0.98687,0.98962,0.99198,0.994,0.99555,0.99661
6,0.95273,0.96105,0.96706,0.97293,0.97736,0.98174,0.98541,0.98847,0.99118,0.99344,0.99555,0.99671,0.99796
6.5,0.95598,0.96358,0.96976,0.97497,0.97973,0.98379,0.98697,0.99021,0.99241,0.99465,0.99613,0.99741,
7,0.95851,0.96615,0.97179,0.97696,0.98136,0.98518,0.98847,0.99154,0.99352,0.99525,0.99672,0.99771,
7.5,0.96069,0.96813,0.97351,0.97837,0.98247,0.98615,0.9893,0.99175,0.99383,0.9955,0.9968,0.9976,
8,0.96352,0.97081,0.9757,0.98031,0.98437,0.98784,0.9907,0.99294,0.9951,0.99663,0.99768,0.99874,
8.5,0.96597,0.9731,0.97782,0.98213,0.98615,0.98942,0.99229,0.99429,0.9963,0.99771,0.99847,0.99939,
9,0.96852,0.97519,0.97969,0.98391,0.9875,0.99082,0.9929,0.99524,0.9969,0.99846,0.99924,0.99982,
9.5,0.97087,0.97683,0.98128,0.98539,0.9887,0.99174,0.9941,0.99617,0.99773,0.99865,0.9996,0.99989,
10,0.97215,0.97813,0.98266,0.98658,0.98976,0.99258,0.99472,0.99688,0.998,0.99906,1.00002,1.00009,
10.5,0.97375,0.97937,0.98392,0.98752,0.99058,0.99301,0.99533,0.99716,0.99836,0.99918,0.9999,1.00006,
11,0.97496,0.9806,0.98477,0.98825,0.99097,0.99369,0.99558,0.99713,0.99839,0.99931,0.99974,0.99981,
11.5,0.97609,0.98136,0.98534,0.98861,0.9913,0.99368,0.99542,0.99731,0.99831,0.99901,0.99935,0.99915,
12,0.97703,0.98191,0.98591,0.98892,0.9916,0.99395,0.99564,0.997,0.9977,0.9989,0.99902,0.99883,
12.5,0.97759,0.98266,0.98621,0.9891,0.99179,0.99403,0.99553,0.99685,0.99737,0.99793,0.9982,0.99809,
13,0.97824,0.98266,0.98637,0.9895,0.9916,0.99369,0.9952,0.99655,0.99706,0.9976,0.99749,0.99744,
13.5,0.97896,0.98301,0.98657,0.98907,0.99164,0.99315,0.99468,0.99559,0.99636,0.99654,0.99651,0.99635,
14,0.9789,0.98337,0.98629,0.98909,0.99133,0.99288,0.99415,0.99523,0.99585,0.99614,0.99578,0.99542,
14.5,0.97888,0.9832,0.98619,0.9887,0.99045,0.99235,0.9935,0.99439,0.99493,0.99485,0.99466,0.99434,
15,0.97925,0.98295,0.98588,0.98804,0.99005,0.99172,0.99259,0.99359,0.99384,0.99365,0.99366,0.99315,
15.5,0.97901,0.98279,0.98542,0.9876,0.9895,0.99114,0.99187,0.99257,0.99267,0.99263,0.99245,0.99188,
16,0.97864,0.98204,0.98478,0.98713,0.98866,0.99016,0.99083,0.99154,0.99162,0.9914,0.99106,0.99042,
16.5,0.97808,0.98179,0.98447,0.98646,0.98777,0.98917,0.99022,0.99053,0.9904,0.9902,0.98977,0.98925,
17,0.97796,0.98122,0.98376,0.98558,0.98723,0.9882,0.98889,0.98932,0.9893,0.98869,0.98859,0.98753,
