temp (C),rho,rho unc,dollars,dollars unc
1,0.0,0.0,0.0,0.0
5,-0.005444613212934476,-0.009632504287658971,-0.007259484283912636,-0.012843339050211962
10,-0.0033880421997183204,-0.004623461293080288,-0.004517389599624427,-0.006164615057440385
15,-0.0006221635935076393,-0.002915095392400777,-0.0008295514580101858,-0.00388679385653437
20,-0.0011462343606177844,-0.0017203065085043571,-0.0015283124808237129,-0.0022937420113391433
25,-0.0028142837220740155,-0.001701431395309863,-0.0037523782960986883,-0.0022685751937464842
30,-0.003870905841580575,-0.0013297738802296483,-0.005161207788774101,-0.0017730318403061979
35,-0.004939086120027939,-0.0011792741676775165,-0.0065854481600372515,-0.0015723655569033553
40,-0.007586489080661403,-0.0010903503774390923,-0.010115318774215204,-0.0014538005032521232
45,-0.00709770066645552,-0.0008614837877592204,-0.009463600888607362,-0.0011486450503456272
50,-0.007648239979149088,-0.0008358114957037422,-0.010197653305532116,-0.0011144153276049897
55,-0.007041605488227008,-0.0007298505960770007,-0.009388807317636012,-0.0009731341281026673
60,-0.005831693504317622,-0.0006939443639058421,-0.007775591339090164,-0.0009252591518744562
65,-0.010081356482457168,-0.000629361649059607,-0.013441808643276223,-0.0008391488654128094
70,-0.009510579492542772,-0.0005618117957027485,-0.012680772656723698,-0.0007490823942703313
75,-0.008897768875518306,-0.0005443817874605007,-0.01186369183402441,-0.0007258423832806675
80,-0.009493930053710336,-0.0005202825152268485,-0.012658573404947112,-0.0006937100203024647
85,-0.009823495184002749,-0.0004803413965745221,-0.013097993578670333,-0.0006404551954326961
90,-0.0114627821708499,-0.0004542040131830189,-0.0152837095611332,-0.0006056053509106918
95,-0.010864869295488603,-0.0004555354786574771,-0.014486492393984805,-0.0006073806382099695
99,-0.011419165855320212,-0.00042905660192120936,-0.015225554473760285,-0.0005720754692282792
