x,D x,D rho,rho unc,D dollars,dollars unc,coef rho,coef rho avg,coef rho unc,coef dollars,coef dollars avg,coef dollars unc
0.1,90.0,,,,,,,,,,
0.2,80.0,-55.114759895342324,-0.1949398568758103,-73.4863465271231,-0.2599198091677471,-0.688934498691779,-0.3694021616060748,-0.002436748210947629,-0.9185793315890388,-0.49253621547476656,-0.0032489976145968387
0.3,70.0,-39.94375069750461,-0.1442275064746586,-53.25833426333947,-0.19230334196621146,-0.5706250099643516,-0.3294606194703618,-0.00206039294963798,-0.7608333466191353,-0.43928082596048257,-0.0027471905995173065
0.4,60.0,-28.47183578383323,-0.14548304943539914,-37.96244771177764,-0.19397739924719887,-0.4745305963972205,-0.295008563685506,-0.0024247174905899856,-0.6327074618629607,-0.39334475158067456,-0.003232956654119981
0.5,50.0,-20.228701837249453,-0.1410316355329992,-26.971602449665948,-0.1880421807106656,-0.40457403674498904,-0.26508822490022027,-0.002820632710659984,-0.539432048993319,-0.35345096653362695,-0.0037608436142133124
0.6,40.0,-13.95236192179882,-0.13582501702289104,-18.603149229065085,-0.18110002269718808,-0.3488090480449705,-0.23719106253126682,-0.003395625425572276,-0.46507873072662714,-0.316254750041689,-0.0045275005674297025
0.7,30.0,-9.211687105114805,-0.11385579195008537,-12.282249473486404,-0.15180772260011385,-0.30705623683716016,-0.20928656615284072,-0.0037951930650028456,-0.4094083157828801,-0.2790487548704542,-0.005060257420003795
0.8,20.0,-5.4540971783310095,-0.12475999025599445,-7.272129571108012,-0.16634665367465926,-0.2727048589165505,-0.17669667592473495,-0.006237999512799722,-0.3636064785554006,-0.2355955678996462,-0.008317332683732963
0.9,10.0,-2.573851688576531,-0.11752874067607133,-3.4318022514353745,-0.15670498756809512,-0.25738516885765306,-0.12869258442882692,-0.011752874067607133,-0.34318022514353747,-0.1715901125717687,-0.015670498756809512
1.0,0.0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0
1.1,-10.0,1.9294243564800408,0.1030774811008992,2.5725658086400545,0.1374366414678656,-0.1929424356480041,,-0.01030774811008992,-0.25725658086400544,,-0.013743664146786561
1.2,-20.0,3.620676770761865,0.0965943612596864,4.827569027682486,0.12879248167958188,-0.18103383853809324,,-0.00482971806298432,-0.2413784513841243,,-0.006439624083979094
1.3,-30.0,5.045285015563264,0.1062284338908196,6.727046687417686,0.14163791185442615,-0.16817616718544215,,-0.0035409477963606532,-0.22423488958058954,,-0.004721263728480872
1.4,-40.0,6.269709327829647,0.09750325042592503,8.359612437106197,0.13000433390123334,-0.15674273319574117,,-0.0024375812606481258,-0.2089903109276549,,-0.0032501083475308334
1.5,-50.0,7.236073010407437,0.10521479828426038,9.648097347209916,0.14028639771234716,-0.14472146020814874,,-0.0021042959656852075,-0.19296194694419833,,-0.0028057279542469432
1.6,-60.0,8.245398164918218,0.11009710757637248,10.993864219890957,0.14679614343516334,-0.13742330274863696,,-0.0018349517929395413,-0.18323107033151595,,-0.0024466023905860557
1.7,-70.0,8.935782648363991,0.09437330461768373,11.914376864485323,0.1258310728235783,-0.1276540378337713,,-0.0013481900659669105,-0.17020538377836175,,-0.0017975867546225473
1.8,-80.0,9.566308006582199,0.09211416669004187,12.7550773421096,0.12281888892005582,-0.11957885008227749,,-0.0011514270836255234,-0.15943846677637,,-0.0015352361115006977
1.9,-90.0,10.035692033443869,0.0968088177463074,13.380922711258496,0.1290784236617432,-0.11150768926048743,,-0.0010756535305145266,-0.14867691901398328,,-0.0014342047073527024
2.0,-100.0,10.6130121358706,0.10110273895812416,14.15068284782747,0.13480365194416558,-0.10613012135870599,,-0.0010110273895812417,-0.1415068284782747,,-0.0013480365194416559
